"startday","sleep_prob","hourtime"
3,0.36734693877551,"0000-0030"
3,0.19047619047619,"0030-0100"
3,0.767195767195767,"0100-0130"
3,0.943877551020408,"0130-0200"
3,0.735449735449735,"0200-0230"
3,0.708994708994709,"0230-0300"
3,0.780612244897959,"0300-0330"
3,0.761904761904762,"0330-0400"
3,0.80952380952381,"0400-0430"
3,0.783068783068783,"0430-0500"
3,0.719387755102041,"0500-0530"
3,0.783068783068783,"0530-0600"
3,0.857142857142857,"0600-0630"
3,0.724489795918367,"0630-0700"
3,0.846560846560847,"0700-0730"
3,0.465608465608466,"0730-0800"
3,0.417989417989418,"0800-0830"
3,0.392857142857143,"0830-0900"
3,0.44973544973545,"0900-0930"
3,0.788359788359788,"0930-1000"
3,0.729591836734694,"1000-1030"
3,0.714285714285714,"1030-1100"
3,0.793650793650794,"1100-1130"
3,0.724489795918367,"1130-1200"
3,0.560846560846561,"1200-1230"
3,0.587301587301587,"1230-1300"
3,0.777777777777778,"1300-1330"
3,0.556122448979592,"1330-1400"
3,0.396825396825397,"1400-1430"
3,0.502645502645503,"1430-1500"
3,0.586734693877551,"1500-1530"
3,0.783068783068783,"1530-1600"
3,0.587301587301587,"1600-1630"
3,0.481481481481481,"1630-1700"
3,0.627551020408163,"1700-1730"
3,0.857142857142857,"1730-1800"
3,0.804232804232804,"1800-1830"
3,0.627551020408163,"1830-1900"
3,0.46031746031746,"1900-1930"
3,0.634920634920635,"1930-2000"
3,0.592592592592593,"2000-2030"
3,0.443877551020408,"2030-2100"
3,0.650793650793651,"2100-2130"
3,0.941798941798942,"2130-2200"
3,1,"2200-2230"
3,1,"2230-2300"
3,1,"2300-2330"
3,0.892857142857143,"2330-0000"
4,0.510204081632653,"0000-0030"
4,0.306878306878307,"0030-0100"
4,0.650793650793651,"0100-0130"
4,0.943877551020408,"0130-0200"
4,0.735449735449735,"0200-0230"
4,0.841269841269841,"0230-0300"
4,0.780612244897959,"0300-0330"
4,0.650793650793651,"0330-0400"
4,0.80952380952381,"0400-0430"
4,0.783068783068783,"0430-0500"
4,0.719387755102041,"0500-0530"
4,0.783068783068783,"0530-0600"
4,0.857142857142857,"0600-0630"
4,0.693877551020408,"0630-0700"
4,0.703703703703704,"0700-0730"
4,0.322751322751323,"0730-0800"
4,0.354497354497354,"0800-0830"
4,0.413265306122449,"0830-0900"
